Sl No.,Timestamp,Source,Destination,Volume,Protocol
322,2015-10-20 15:35:30 Z,10.10.10.30,10.10.10.10,5,tcp
323,2015-10-20 15:35:31 Z,10.10.10.10,10.10.10.30,7,tcp
324,2015-10-20 15:35:31 Z,10.10.10.30,10.10.10.10,5,tcp
325,2015-10-20 15:35:32 Z,10.10.10.10,10.10.10.30,7,tcp
326,2015-10-20 15:35:32 Z,10.10.10.10,10.10.10.30,7,tcp
327,2015-10-20 15:35:32 Z,192.168.89.2,8.8.8.8,1,udp
328,2015-10-20 15:35:32 Z,10.10.10.30,10.10.10.10,4,tcp
329,2015-10-20 15:35:33 Z,10.10.10.30,10.10.10.10,4,tcp
330,2015-10-20 15:35:34 Z,10.10.10.30,10.10.10.10,4,tcp
331,2015-10-20 15:35:35 Z,10.10.10.30,10.10.10.10,4,tcp
332,2015-10-20 15:35:36 Z,10.10.10.30,10.10.10.10,4,tcp
333,2015-10-20 15:35:37 Z,10.10.10.30,10.10.10.10,4,tcp
334,2015-10-20 15:35:38 Z,10.10.10.30,10.10.10.10,4,tcp
335,2015-10-20 15:35:39 Z,10.10.10.30,10.10.10.10,4,tcp
336,2015-10-20 15:35:40 Z,10.10.10.30,10.10.10.10,4,tcp
337,2015-10-20 15:35:41 Z,10.10.10.30,10.10.10.10,4,tcp
338,2015-10-20 15:35:42 Z,192.168.89.2,8.8.8.8,1,udp
339,2015-10-20 15:35:42 Z,10.10.10.30,10.10.10.10,4,tcp
340,2015-10-20 15:35:43 Z,10.10.10.30,10.10.10.10,4,tcp
341,2015-10-20 15:35:44 Z,10.10.10.30,10.10.10.10,4,tcp
342,2015-10-20 15:35:46 Z,10.10.10.30,10.10.10.10,4,tcp
343,2015-10-20 15:35:46 Z,10.10.10.30,10.10.10.10,4,tcp
344,2015-10-20 15:35:48 Z,10.10.10.30,10.10.10.10,4,tcp
345,2015-10-20 15:35:48 Z,192.168.89.2,8.8.8.8,3,udp
346,2015-10-20 15:35:48 Z,10.10.10.30,10.10.10.10,4,tcp
347,2015-10-20 15:35:50 Z,10.10.10.30,10.10.10.10,4,tcp
348,2015-10-20 15:35:50 Z,10.10.10.30,10.10.10.10,4,tcp
349,2015-10-20 15:35:52 Z,10.10.10.30,10.10.10.10,4,tcp
